case,predictive_entropy,calibration_uncertainty,steganalysis_risk,payload_pressure,dead_end_risk,channel_fragility,fuzzy_mode,fuzzy_bits,fixed_mode,fixed_bits,mlp_mode,mlp_bits
0,0.1,0.05,0.05,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
1,0.1,0.05,0.05,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
2,0.1,0.05,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
3,0.1,0.05,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
4,0.1,0.05,0.05,0.85,0.05,0.05,COVER,0,COVER,0,COVER,0
5,0.1,0.05,0.05,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
6,0.1,0.05,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
7,0.1,0.05,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
8,0.1,0.05,0.7,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
9,0.1,0.05,0.7,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
10,0.1,0.05,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
11,0.1,0.05,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
12,0.1,0.05,0.7,0.85,0.05,0.05,COVER,0,COVER,0,PAUSE,0
13,0.1,0.05,0.7,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
14,0.1,0.05,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
15,0.1,0.05,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
16,0.1,0.6,0.05,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
17,0.1,0.6,0.05,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
18,0.1,0.6,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
19,0.1,0.6,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
20,0.1,0.6,0.05,0.85,0.05,0.05,COVER,0,COVER,0,COVER,0
21,0.1,0.6,0.05,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
22,0.1,0.6,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
23,0.1,0.6,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
24,0.1,0.6,0.7,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
25,0.1,0.6,0.7,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
26,0.1,0.6,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
27,0.1,0.6,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
28,0.1,0.6,0.7,0.85,0.05,0.05,COVER,0,COVER,0,PAUSE,0
29,0.1,0.6,0.7,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
30,0.1,0.6,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
31,0.1,0.6,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
32,0.35,0.05,0.05,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
33,0.35,0.05,0.05,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
34,0.35,0.05,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
35,0.35,0.05,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
36,0.35,0.05,0.05,0.85,0.05,0.05,COVER,0,COVER,0,COVER,0
37,0.35,0.05,0.05,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
38,0.35,0.05,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
39,0.35,0.05,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
40,0.35,0.05,0.7,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
41,0.35,0.05,0.7,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
42,0.35,0.05,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
43,0.35,0.05,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
44,0.35,0.05,0.7,0.85,0.05,0.05,COVER,0,COVER,0,PAUSE,0
45,0.35,0.05,0.7,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
46,0.35,0.05,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
47,0.35,0.05,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
48,0.35,0.6,0.05,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
49,0.35,0.6,0.05,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
50,0.35,0.6,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
51,0.35,0.6,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
52,0.35,0.6,0.05,0.85,0.05,0.05,COVER,0,COVER,0,COVER,0
53,0.35,0.6,0.05,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
54,0.35,0.6,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
55,0.35,0.6,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
56,0.35,0.6,0.7,0.2,0.05,0.05,COVER,0,COVER,0,COVER,0
57,0.35,0.6,0.7,0.2,0.05,0.7,COVER,0,COVER,0,COVER,0
58,0.35,0.6,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
59,0.35,0.6,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
60,0.35,0.6,0.7,0.85,0.05,0.05,COVER,0,COVER,0,PAUSE,0
61,0.35,0.6,0.7,0.85,0.05,0.7,COVER,0,COVER,0,PAUSE,0
62,0.35,0.6,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
63,0.35,0.6,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
64,0.7,0.05,0.05,0.2,0.05,0.05,EMBED,1,EMBED,3,EMBED,3
65,0.7,0.05,0.05,0.2,0.05,0.7,COVER,0,EMBED,3,COVER,0
66,0.7,0.05,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
67,0.7,0.05,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
68,0.7,0.05,0.05,0.85,0.05,0.05,EMBED,3,EMBED,3,EMBED,3
69,0.7,0.05,0.05,0.85,0.05,0.7,COVER,0,EMBED,3,PAUSE,0
70,0.7,0.05,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
71,0.7,0.05,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
72,0.7,0.05,0.7,0.2,0.05,0.05,COVER,0,EMBED,3,COVER,0
73,0.7,0.05,0.7,0.2,0.05,0.7,COVER,0,EMBED,3,COVER,0
74,0.7,0.05,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
75,0.7,0.05,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
76,0.7,0.05,0.7,0.85,0.05,0.05,COVER,0,EMBED,3,PAUSE,0
77,0.7,0.05,0.7,0.85,0.05,0.7,COVER,0,EMBED,3,PAUSE,0
78,0.7,0.05,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
79,0.7,0.05,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
80,0.7,0.6,0.05,0.2,0.05,0.05,COVER,0,EMBED,3,COVER,0
81,0.7,0.6,0.05,0.2,0.05,0.7,COVER,0,EMBED,3,COVER,0
82,0.7,0.6,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
83,0.7,0.6,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
84,0.7,0.6,0.05,0.85,0.05,0.05,COVER,0,EMBED,3,COVER,0
85,0.7,0.6,0.05,0.85,0.05,0.7,COVER,0,EMBED,3,PAUSE,0
86,0.7,0.6,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
87,0.7,0.6,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
88,0.7,0.6,0.7,0.2,0.05,0.05,COVER,0,EMBED,3,COVER,0
89,0.7,0.6,0.7,0.2,0.05,0.7,COVER,0,EMBED,3,COVER,0
90,0.7,0.6,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
91,0.7,0.6,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
92,0.7,0.6,0.7,0.85,0.05,0.05,COVER,0,EMBED,3,PAUSE,0
93,0.7,0.6,0.7,0.85,0.05,0.7,COVER,0,EMBED,3,PAUSE,0
94,0.7,0.6,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
95,0.7,0.6,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
96,0.95,0.05,0.05,0.2,0.05,0.05,EMBED,1,EMBED,4,EMBED,4
97,0.95,0.05,0.05,0.2,0.05,0.7,COVER,0,EMBED,4,COVER,0
98,0.95,0.05,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
99,0.95,0.05,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
100,0.95,0.05,0.05,0.85,0.05,0.05,EMBED,4,EMBED,4,EMBED,4
101,0.95,0.05,0.05,0.85,0.05,0.7,COVER,0,EMBED,4,PAUSE,0
102,0.95,0.05,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
103,0.95,0.05,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
104,0.95,0.05,0.7,0.2,0.05,0.05,COVER,0,EMBED,4,COVER,0
105,0.95,0.05,0.7,0.2,0.05,0.7,COVER,0,EMBED,4,COVER,0
106,0.95,0.05,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
107,0.95,0.05,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
108,0.95,0.05,0.7,0.85,0.05,0.05,COVER,0,EMBED,4,PAUSE,0
109,0.95,0.05,0.7,0.85,0.05,0.7,COVER,0,EMBED,4,PAUSE,0
110,0.95,0.05,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
111,0.95,0.05,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
112,0.95,0.6,0.05,0.2,0.05,0.05,COVER,0,EMBED,4,COVER,0
113,0.95,0.6,0.05,0.2,0.05,0.7,COVER,0,EMBED,4,COVER,0
114,0.95,0.6,0.05,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
115,0.95,0.6,0.05,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
116,0.95,0.6,0.05,0.85,0.05,0.05,COVER,0,EMBED,4,COVER,0
117,0.95,0.6,0.05,0.85,0.05,0.7,COVER,0,EMBED,4,PAUSE,0
118,0.95,0.6,0.05,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
119,0.95,0.6,0.05,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
120,0.95,0.6,0.7,0.2,0.05,0.05,COVER,0,EMBED,4,COVER,0
121,0.95,0.6,0.7,0.2,0.05,0.7,COVER,0,EMBED,4,COVER,0
122,0.95,0.6,0.7,0.2,0.98,0.05,STOP,0,STOP,0,STOP,0
123,0.95,0.6,0.7,0.2,0.98,0.7,STOP,0,STOP,0,STOP,0
124,0.95,0.6,0.7,0.85,0.05,0.05,COVER,0,EMBED,4,PAUSE,0
125,0.95,0.6,0.7,0.85,0.05,0.7,COVER,0,EMBED,4,PAUSE,0
126,0.95,0.6,0.7,0.85,0.98,0.05,STOP,0,STOP,0,STOP,0
127,0.95,0.6,0.7,0.85,0.98,0.7,STOP,0,STOP,0,STOP,0
