section,dataset,detector,variant,auc,balanced_accuracy,eer
robustness,tgbl-wiki,linear,none,0.55616907,0.53155,0.4688
robustness,tgbl-wiki,linear,subsample_80,0.55722846875,0.5330625,0.468125
robustness,tgbl-wiki,linear,truncate_50,0.57016174,0.5388000000000001,0.4616
robustness,tgbl-wiki,linear,timestamp_noise,0.556153475,0.53155,0.46804999999999997
ablation,tgbl-wiki,linear,full,0.55616907,0.53155,0.4688
ablation,tgbl-wiki,linear,no_probability,0.53766788,0.52415,0.47609999999999997
ablation,tgbl-wiki,linear,no_entropy,0.5613648600000001,0.53565,0.46445000000000003
ablation,tgbl-wiki,linear,no_cold_start,0.555321445,0.5308999999999999,0.469
ablation,tgbl-wiki,linear,no_temporal,0.552312315,0.5293,0.4707
robustness,tgbl-wiki,forest,none,0.575789135,0.53975,0.46025
robustness,tgbl-wiki,forest,subsample_80,0.5757879765625,0.5404375,0.461125
robustness,tgbl-wiki,forest,truncate_50,0.5904688,0.5477,0.4523
robustness,tgbl-wiki,forest,timestamp_noise,0.5740909200000001,0.53825,0.46114999999999995
ablation,tgbl-wiki,forest,full,0.575789135,0.53975,0.46025
ablation,tgbl-wiki,forest,no_probability,0.5628874349999999,0.5329,0.4671
ablation,tgbl-wiki,forest,no_entropy,0.57539715,0.54015,0.45985
ablation,tgbl-wiki,forest,no_cold_start,0.5749993,0.5392,0.4608
ablation,tgbl-wiki,forest,no_temporal,0.574657845,0.5391,0.4609
robustness,tgbl-wiki,mlp,none,0.57547823,0.5398499999999999,0.46014999999999995
robustness,tgbl-wiki,mlp,subsample_80,0.575782015625,0.5400625,0.45875
robustness,tgbl-wiki,mlp,truncate_50,0.59027432,0.5478000000000001,0.45220000000000005
robustness,tgbl-wiki,mlp,timestamp_noise,0.57547445,0.5398000000000001,0.4606
ablation,tgbl-wiki,mlp,full,0.57547823,0.5398499999999999,0.46014999999999995
ablation,tgbl-wiki,mlp,no_probability,0.56154762,0.5325,0.46745000000000003
ablation,tgbl-wiki,mlp,no_entropy,0.570597215,0.53825,0.46185
ablation,tgbl-wiki,mlp,no_cold_start,0.5743280100000001,0.53905,0.46095
ablation,tgbl-wiki,mlp,no_temporal,0.5729461600000001,0.53885,0.46194999999999997
robustness,mooc,linear,none,0.500692375,0.50035,0.49965000000000004
robustness,mooc,linear,subsample_80,0.5008637031250001,0.5015000000000001,0.4994375
robustness,mooc,linear,truncate_50,0.50078536,0.5004000000000001,0.4996
robustness,mooc,linear,timestamp_noise,0.50049752,0.4998,0.501
ablation,mooc,linear,full,0.500692375,0.50035,0.49965000000000004
ablation,mooc,linear,no_probability,0.5003,0.5003,0.4997
ablation,mooc,linear,no_entropy,0.50041807,0.5002,0.4998
ablation,mooc,linear,no_cold_start,0.500580585,0.5003,0.4997
ablation,mooc,linear,no_temporal,0.5006926650000001,0.50035,0.49965
robustness,mooc,forest,none,0.5006054550000001,0.5003,0.4997
robustness,mooc,forest,subsample_80,0.4980815390625,0.49849999999999994,0.5015624999999999
robustness,mooc,forest,truncate_50,0.50061316,0.5003,0.49970000000000003
robustness,mooc,forest,timestamp_noise,0.49981755499999997,0.5017,0.4979
ablation,mooc,forest,full,0.5006054550000001,0.5003,0.4997
ablation,mooc,forest,no_probability,0.5003828050000001,0.5002,0.4998
ablation,mooc,forest,no_entropy,0.50069893,0.50035,0.49965
ablation,mooc,forest,no_cold_start,0.500699345,0.5003500000000001,0.49965
ablation,mooc,forest,no_temporal,0.500698895,0.50035,0.49965
robustness,mooc,mlp,none,0.500699145,0.50035,0.4996499999999999
robustness,mooc,mlp,subsample_80,0.49738035156249993,0.4968125,0.501125
robustness,mooc,mlp,truncate_50,0.5007990400000001,0.5004,0.4996
robustness,mooc,mlp,timestamp_noise,0.50110145,0.5001,0.5012
ablation,mooc,mlp,full,0.500699145,0.50035,0.4996499999999999
ablation,mooc,mlp,no_probability,0.50000182,0.5,0.5
ablation,mooc,mlp,no_entropy,0.500510315,0.50025,0.49975
ablation,mooc,mlp,no_cold_start,0.500698365,0.50035,0.49965000000000004
ablation,mooc,mlp,no_temporal,0.50069925,0.5003500000000001,0.49965
robustness,lastfm,linear,none,0.5001046199999999,0.50005,0.49995
robustness,lastfm,linear,subsample_80,0.5029543828125,0.500625,0.498375
robustness,lastfm,linear,truncate_50,0.50000774,0.5,0.5
robustness,lastfm,linear,timestamp_noise,0.50000522,0.5001,0.5009
ablation,lastfm,linear,full,0.5001046199999999,0.50005,0.49995
ablation,lastfm,linear,no_probability,0.5,0.5,0.5
ablation,lastfm,linear,no_entropy,0.5001002099999999,0.50005,0.49995
ablation,lastfm,linear,no_cold_start,0.5001978,0.5001,0.4999
ablation,lastfm,linear,no_temporal,0.50010467,0.50005,0.49995
robustness,lastfm,forest,none,0.50010087,0.50005,0.49995
robustness,lastfm,forest,subsample_80,0.5014267578125,0.5011875,0.497875
robustness,lastfm,forest,truncate_50,0.5001999800000001,0.5001,0.4999
robustness,lastfm,forest,timestamp_noise,0.50079067,0.50005,0.50095
ablation,lastfm,forest,full,0.50010087,0.50005,0.49995
ablation,lastfm,forest,no_probability,0.49999999999999994,0.5,0.5
ablation,lastfm,forest,no_entropy,0.50019824,0.5001,0.4999
ablation,lastfm,forest,no_cold_start,0.50010022,0.50005,0.49994999999999995
ablation,lastfm,forest,no_temporal,0.5001935149999999,0.5001,0.4999
robustness,lastfm,mlp,none,0.50000299,0.5,0.5
robustness,lastfm,mlp,subsample_80,0.500207890625,0.5008125,0.49924999999999997
robustness,lastfm,mlp,truncate_50,0.50000036,0.5,0.5
robustness,lastfm,mlp,timestamp_noise,0.49901658000000004,0.4998,0.50375
ablation,lastfm,mlp,full,0.50000299,0.5,0.5
ablation,lastfm,mlp,no_probability,0.499999995,0.5,0.5
ablation,lastfm,mlp,no_entropy,0.50015288,0.50005,0.4999
ablation,lastfm,mlp,no_cold_start,0.5000005049999999,0.5,0.5
ablation,lastfm,mlp,no_temporal,0.5000003399999999,0.5,0.5
robustness,geolife_cells,linear,none,0.50019948,0.5001,0.4999
robustness,geolife_cells,linear,subsample_80,0.49795928125000005,0.49774999999999997,0.501625
robustness,geolife_cells,linear,truncate_50,0.5,0.5,0.5
robustness,geolife_cells,linear,timestamp_noise,0.50107904,0.49934999999999996,0.4981
ablation,geolife_cells,linear,full,0.50019948,0.5001,0.4999
ablation,geolife_cells,linear,no_probability,0.5001009599999999,0.5001,0.49995
ablation,geolife_cells,linear,no_entropy,0.50019939,0.5001,0.4999
ablation,geolife_cells,linear,no_cold_start,0.50019942,0.5001,0.4999
ablation,geolife_cells,linear,no_temporal,0.5001993799999999,0.5001,0.4999
robustness,geolife_cells,forest,none,0.5001003300000001,0.50005,0.49995
robustness,geolife_cells,forest,subsample_80,0.4986585390625001,0.49924999999999997,0.5006875
robustness,geolife_cells,forest,truncate_50,0.4999999999999999,0.5,0.5
robustness,geolife_cells,forest,timestamp_noise,0.502454875,0.5017,0.49705
ablation,geolife_cells,forest,full,0.5001003300000001,0.50005,0.49995
ablation,geolife_cells,forest,no_probability,0.50019945,0.5001,0.4999
ablation,geolife_cells,forest,no_entropy,0.5001002400000001,0.50005,0.49995
ablation,geolife_cells,forest,no_cold_start,0.5001004,0.50005,0.49995
ablation,geolife_cells,forest,no_temporal,0.5001001500000001,0.50005,0.49994999999999995
robustness,geolife_cells,mlp,none,0.500169315,0.5001,0.4999
robustness,geolife_cells,mlp,subsample_80,0.49948932031250004,0.49943750000000003,0.5005
robustness,geolife_cells,mlp,truncate_50,0.50003802,0.5,0.5
robustness,geolife_cells,mlp,timestamp_noise,0.49755671,0.4976,0.5035000000000001
ablation,geolife_cells,mlp,full,0.500169315,0.5001,0.4999
ablation,geolife_cells,mlp,no_probability,0.50016138,0.50005,0.49995
ablation,geolife_cells,mlp,no_entropy,0.500199705,0.5001,0.4999
ablation,geolife_cells,mlp,no_cold_start,0.50017504,0.5001,0.49989999999999996
ablation,geolife_cells,mlp,no_temporal,0.5001289250000001,0.50005,0.49989999999999996
robustness,t_drive_cells,linear,none,0.532556255,0.5185,0.48164999999999997
robustness,t_drive_cells,linear,subsample_80,0.5331936171875,0.5201875,0.4801875
robustness,t_drive_cells,linear,truncate_50,0.5328383999999999,0.5186,0.4814
robustness,t_drive_cells,linear,timestamp_noise,0.53224297,0.5185500000000001,0.48250000000000004
ablation,t_drive_cells,linear,full,0.532556255,0.5185,0.48164999999999997
ablation,t_drive_cells,linear,no_probability,0.5037777,0.5031,0.498
ablation,t_drive_cells,linear,no_entropy,0.5307056950000001,0.5185500000000001,0.48185
ablation,t_drive_cells,linear,no_cold_start,0.5328688549999999,0.51835,0.4817
ablation,t_drive_cells,linear,no_temporal,0.52323683,0.513,0.487
robustness,t_drive_cells,forest,none,0.536801105,0.51905,0.481
robustness,t_drive_cells,forest,subsample_80,0.5344461953125,0.5186875,0.48168750000000005
robustness,t_drive_cells,forest,truncate_50,0.5376690999999999,0.5195,0.4805
robustness,t_drive_cells,forest,timestamp_noise,0.5369651799999999,0.5189,0.4808
ablation,t_drive_cells,forest,full,0.536801105,0.51905,0.481
ablation,t_drive_cells,forest,no_probability,0.52801296,0.5144500000000001,0.48550000000000004
ablation,t_drive_cells,forest,no_entropy,0.5361676,0.5191,0.4809
ablation,t_drive_cells,forest,no_cold_start,0.5368428049999999,0.5191,0.48095
ablation,t_drive_cells,forest,no_temporal,0.536502625,0.5191,0.4809
robustness,t_drive_cells,mlp,none,0.53608448,0.5188999999999999,0.48105
robustness,t_drive_cells,mlp,subsample_80,0.5333883203124999,0.515625,0.48325
robustness,t_drive_cells,mlp,truncate_50,0.53689652,0.5197,0.4806
robustness,t_drive_cells,mlp,timestamp_noise,0.535409515,0.5195,0.48329999999999995
ablation,t_drive_cells,mlp,full,0.53608448,0.5188999999999999,0.48105
ablation,t_drive_cells,mlp,no_probability,0.52286265,0.51345,0.48760000000000003
ablation,t_drive_cells,mlp,no_entropy,0.5286474099999999,0.51645,0.4857
ablation,t_drive_cells,mlp,no_cold_start,0.534330085,0.51785,0.48205
ablation,t_drive_cells,mlp,no_temporal,0.53368836,0.5182,0.4818
